image_id,file_name,category_id,category,score,bbox,edge_len,size_band,fp_type,best_iou,confused_with,error_kind
85,85.jpg,1,swimmer,0.25556,"[718.19, 485.17, 26.01, 37.46]",31.21433324612269,16-32,class_confusion,0.5726985335350037,boat,FP
267,267.jpg,2,boat,0.71692,"[955.36, 635.78, 99.26, 76.47]",87.122971712402,>64,localization,0.11027069389820099,boat,FP
267,267.jpg,1,swimmer,0.41536,"[953.42, 516.47, 139.63, 197.32]",165.98732361237708,>64,background,0.030379148200154305,,FP
276,276.jpg,1,swimmer,0.56359,"[394.66, 800.52, 23.83, 39.12]",30.53243521240977,16-32,class_confusion,0.5599479675292969,boat,FP
276,276.jpg,1,swimmer,0.26266,"[279.26, 551.77, 22.98, 31.48]",26.89628970694657,16-32,class_confusion,0.7533954381942749,boat,FP
465,465.jpg,1,swimmer,0.73507,"[1112.36, 55.26, 45.06, 53.47]",49.085213659512576,32-64,class_confusion,0.9109110236167908,buoy,FP
501,501.jpg,1,swimmer,0.48347,"[238.34, 503.62, 154.83, 427.48]",257.267814543522,>64,background,0.02540498413145542,,FP
501,501.jpg,1,swimmer,0.40628,"[237.59, 448.53, 239.15, 485.47]",340.7347215943805,>64,background,0.01591729186475277,,FP
501,501.jpg,1,swimmer,0.27614,"[237.27, 368.66, 414.21, 565.34]",483.9106130268275,>64,background,0.007891720160841942,,FP
510,510.jpg,2,boat,0.77251,"[0.07, 145.45, 116.03, 179.02]",144.1238724153636,>64,localization,0.4501050114631653,boat,FP
510,510.jpg,2,boat,0.72326,"[0.0, 145.46, 118.33, 294.46]",186.6640077786824,>64,localization,0.26863008737564087,boat,FP
518,518.jpg,2,boat,0.39762,"[191.95, 54.13, 130.85, 187.9]",156.80151466105167,>64,duplicate,0.7906685471534729,boat,FP
518,518.jpg,2,boat,0.30475,"[58.22, 1.84, 281.7, 241.4]",260.77265960986017,>64,localization,0.2906654179096222,boat,FP
529,529.jpg,1,swimmer,0.42865,"[0.0, 329.57, 180.72, 363.99]",256.47665156890986,>64,background,0.09902085363864899,,FP
550,550.jpg,1,swimmer,0.94763,"[443.61, 0.13, 198.73, 636.34]",355.6119348390883,>64,background,0.013158326037228107,,FP
552,552.jpg,1,swimmer,0.51789,"[413.08, 0.78, 283.24, 927.55]",512.5614714353782,>64,background,0.0,,FP
566,566.jpg,1,swimmer,0.45018,"[404.31, 538.26, 514.55, 395.74]",451.25161163147106,>64,background,0.10168542712926865,,FP
566,566.jpg,1,swimmer,0.39603,"[399.92, 551.95, 205.46, 382.05]",280.17136363304513,>64,background,0.0,,FP
604,604.jpg,1,swimmer,0.30037,"[254.48, 58.73, 237.34, 551.9]",361.92256906692074,>64,background,0.049269530922174454,,FP
622,622.jpg,3,jetski,0.26766,"[824.18, 774.66, 118.14, 72.11]",92.29883747913621,>64,class_confusion,0.9449369311332703,boat,FP
646,646.jpg,3,jetski,0.54078,"[848.24, 540.64, 67.09, 131.1]",93.78432171743846,>64,class_confusion,0.8944765329360962,boat,FP
652,652.jpg,3,jetski,0.48591,"[1156.18, 756.97, 21.32, 29.15]",24.929460483532328,16-32,class_confusion,0.8827783465385437,swimmer,FP
655,655.jpg,2,boat,0.37634,"[75.23, 277.95, 17.63, 26.86]",21.761015601299494,16-32,class_confusion,0.5509579181671143,swimmer,FP
693,693.jpg,3,jetski,0.77698,"[834.55, 175.52, 149.97, 193.43]",170.3193973098778,>64,class_confusion,0.9590291976928711,boat,FP
780,780.jpg,2,boat,0.89264,"[1191.1, 211.26, 38.76, 93.36]",60.15507958601667,32-64,localization,0.3380874693393707,boat,FP
780,780.jpg,2,boat,0.67305,"[1199.0, 134.61, 31.0, 207.77]",80.2550309949476,>64,localization,0.20711487531661987,boat,FP
780,780.jpg,2,boat,0.64837,"[1195.03, 133.8, 34.97, 267.82]",96.77636798309803,>64,localization,0.14243514835834503,boat,FP
780,780.jpg,2,boat,0.52754,"[1175.33, 131.65, 54.67, 245.82]",115.9266121302611,>64,background,0.09926348924636841,,FP
780,780.jpg,1,swimmer,0.40727,"[1195.75, 126.93, 34.25, 185.85]",79.78322192040129,>64,background,0.2095717191696167,,FP
780,780.jpg,1,swimmer,0.30869,"[1175.08, 132.38, 54.92, 183.9]",100.49770146625245,>64,background,0.1320819854736328,,FP
803,803.jpg,2,boat,0.82476,"[352.32, 528.66, 359.54, 403.34]",380.8107976410333,>64,background,0.025321193039417267,,FP
803,803.jpg,1,swimmer,0.39223,"[350.42, 533.55, 357.53, 398.45]",377.43586011400663,>64,background,0.024840475991368294,,FP
824,824.jpg,1,swimmer,0.77881,"[1038.3, 662.4, 80.85, 53.01]",65.46646851633284,>64,class_confusion,0.5633891820907593,jetski,FP
828,828.jpg,1,swimmer,0.66315,"[104.7, 240.49, 89.15, 75.72]",82.16104916564782,>64,background,0.0,,FP
868,868.jpg,1,swimmer,0.5243,"[3869.75, 2117.08, 118.38, 179.32]",145.69798076843756,>64,class_confusion,0.7945572733879089,boat,FP
868,868.jpg,3,jetski,0.44706,"[3869.3, 2126.01, 120.36, 172.44]",144.06553508733447,>64,class_confusion,0.8320525288581848,boat,FP
868,868.jpg,5,buoy,0.36032,"[3671.17, 1831.88, 61.97, 66.68]",64.28187613939096,>64,background,0.3049252927303314,,FP
884,884.jpg,1,swimmer,0.72822,"[411.53, 943.07, 477.61, 145.66]",263.75873938127626,>64,class_confusion,0.8727340698242188,boat,FP
887,887.jpg,1,swimmer,0.76466,"[4745.41, 3244.8, 104.21, 173.72]",134.5487316922757,>64,class_confusion,0.7066091299057007,boat,FP
